DATE ; SOURCE ; PORT ; DESTINATION ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; LENGTH
11:42:04;BP-Linux8;ssh;192.168.190.130.50019:;P.;2243505564:2243505672;1972915080;312;nop,nop,TS val 102917262 ecr 377952805;108
11:42:04;BP-Linux8;ssh;192.168.190.130.50019:;P.;108:144;1;312;nop,nop,TS val 102917262 ecr 377952805;36
11:42:04;BP-Linux8;ssh;192.168.190.130.50019:;P.;144:252;1;312;nop,nop,TS val 102917262 ecr 377952805;108
11:42:04;BP-Linux8;ssh;192.168.190.130.50019:;P.;252:288;1;312;nop,nop,TS val 102917262 ecr 377952805;36
11:42:04;192.168.190.130;50019;BP-Linux8.ssh:;.;;108;7319;nop,nop,TS val 377953205 ecr 102917262;0
11:42:04;192.168.190.130;50019;BP-Linux8.ssh:;.;;144;7318;nop,nop,TS val 377953205 ecr 102917262;0
11:42:04;192.168.190.130;50019;BP-Linux8.ssh:;.;;252;7316;nop,nop,TS val 377953205 ecr 102917262;0
11:42:04;192.168.190.130;50019;BP-Linux8.ssh:;.;;288;7320;nop,nop,TS val 377953205 ecr 102917262;0
11:42:05;BP-Linux8;58466;ns1.lan.rt.domain:;;;;;;
11:42:05;ns1.lan.rt;domain;BP-Linux8.58466:;;;;;;
11:42:06;192.168.190.130;50245;BP-Linux8.ssh:;P.;1601828178:1601828214;1851233244;2048;nop,nop,TS val 377955086 ecr 102913805;36
11:42:06;BP-Linux8;ssh;192.168.190.130.50245:;P.;01:37;36;291;nop,nop,TS val 102917738 ecr 377955086;36
11:42:06;BP-Linux8;53220;ns1.lan.rt.domain:;;;;;;
11:42:06;ns1.lan.rt;domain;BP-Linux8.53220:;;;;;;
11:42:06;BP-Linux8;ssh;192.168.190.130.50245:;P.;37:153;36;291;nop,nop,TS val 102917741 ecr 377955086;116
11:42:06;BP-Linux8;ssh;192.168.190.130.50245:;P.;153:189;36;291;nop,nop,TS val 102917741 ecr 377955086;36
11:42:06;190-0-175-100.gba.solunet.com.ar;2465;184.107.43.74.http:;S;326991629:326991749;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2466;184.107.43.74.http:;S;920517760:920517880;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2467;184.107.43.74.http:;S;556803824:556803944;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2468;184.107.43.74.http:;S;1921632185:1921632305;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2469;184.107.43.74.http:;S;1170972654:1170972774;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2470;184.107.43.74.http:;S;754504426:754504546;;512;;120
